,Dengue,Dengue_sma7,Acumulado_21,Acumulado,Populacao,Rt,Susceptiveis,Densidade_Dem,Precipitacao_sma7,Temp_med_7sma,Temp_min_7sma,Umidade_7sma,Vento_mps_7sma
3924,2,2.4,53,260834,2638717,1.0,2377883,8446,0.0,27.5,24.5,67.1,3.7
3925,2,2.3,53,260836,2638717,0.94,2377881,8446,0.0,27.4,24.3,66.4,3.7
3926,2,2.1,52,260838,2639181,0.88,2378343,8448,0.0,27.4,24.3,66.6,3.7
3927,2,2.0,51,260840,2639181,0.82,2378341,8448,0.0,27.5,24.3,67.1,3.7
3928,2,2.0,51,260842,2639181,0.82,2378339,8448,0.0,27.4,24.3,67.7,3.7
3929,2,2.0,50,260844,2639181,0.82,2378337,8448,0.0,27.5,24.2,67.8,3.8
3930,2,2.0,49,260846,2639181,0.82,2378335,8448,0.0,27.5,24.2,67.4,3.8
3931,2,2.0,48,260848,2639181,0.82,2378333,8448,0.0,27.5,24.0,66.5,3.9
3932,3,2.1,48,260851,2639181,0.94,2378330,8448,0.0,27.6,24.1,66.4,3.8
3933,3,2.3,48,260854,2639645,1.07,2378791,8449,0.0,27.7,24.2,66.8,3.8
3934,2,2.3,47,260856,2639645,1.14,2378789,8449,0.0,27.7,24.2,67.0,3.7
3935,2,2.3,47,260858,2639645,1.14,2378787,8449,0.0,27.7,24.3,66.8,3.6
3936,2,2.3,47,260860,2639645,1.14,2378785,8449,0.2,27.5,24.3,67.9,3.4
3937,2,2.3,47,260862,2639645,1.14,2378783,8449,0.4,27.4,24.3,69.1,3.3
3938,1,2.1,46,260863,2639645,1.07,2378782,8449,0.4,27.4,24.3,69.6,3.3
3939,1,1.9,44,260864,2639645,0.87,2378781,8449,0.4,27.3,24.4,70.6,3.3
3940,1,1.6,42,260865,2640109,0.69,2379244,8451,0.5,27.2,24.5,71.7,3.2
3941,1,1.4,40,260866,2640109,0.63,2379243,8451,0.8,27.2,24.4,72.5,3.3
3942,1,1.3,39,260867,2640109,0.56,2379242,8451,1.5,27.1,24.3,73.2,3.2
3943,1,1.1,38,260868,2640109,0.5,2379241,8451,1.3,27.3,24.4,72.4,3.4
3944,1,1.0,37,260869,2640109,0.44,2379240,8451,1.1,27.4,24.5,71.4,3.6
3945,1,1.0,36,260870,2640109,0.47,2379239,8451,1.1,27.4,24.8,71.6,3.6
3946,1,1.0,35,260871,2640109,0.54,2379238,8451,1.1,27.5,24.9,71.2,3.7
3947,1,1.0,34,260872,2640573,0.64,2379701,8452,1.0,27.7,25.0,69.4,3.8
3948,1,1.0,33,260873,2640573,0.7,2379700,8452,0.7,27.8,24.9,68.1,3.8
3949,2,1.1,33,260875,2640573,0.89,2379698,8452,0.0,27.9,25.1,67.7,3.9
3950,1,1.1,32,260876,2640573,1.0,2379697,8452,0.0,28.1,25.1,66.9,3.9
3951,1,1.1,31,260877,2640573,1.14,2379696,8452,0.0,28.2,25.1,67.2,3.9
3952,1,1.1,30,260878,2640573,1.14,2379695,8452,0.0,28.2,25.0,67.2,3.9
3953,1,1.1,28,260879,2640573,1.14,2379694,8452,0.0,28.2,24.9,67.9,3.8
3954,2,1.3,27,260881,2641037,1.29,2380156,8454,0.0,28.1,25.0,69.2,3.7
3955,3,1.6,28,260884,2641037,1.57,2380153,8454,0.1,28.1,25.2,70.3,3.7
